,freq,birefringence
0,254154448000.0,0.05222805592238444
1,263929619000.0,0.04990443158666458
2,273704790000.0,0.04682383236099574
3,283479961000.0,0.04410605055005523
4,293255132000.0,0.04129444700213725
5,303030303000.0,0.038772889618129414
6,312805474000.0,0.036108456028650426
7,322580645000.0,0.03301739084031485
8,332355816000.0,0.030053012678405322
9,342130987000.0,0.02702656930136893
10,351906158000.0,0.023923764470606956
11,361681329000.0,0.020707569301546158
12,371456500000.0,0.01748096046646208
13,381231672000.0,0.014212570688404425
14,391006843000.0,0.010808481491505484
15,400782014000.0,0.007228936098532923
16,410557185000.0,0.003645100925202538
17,420332356000.0,0.00022213682780902744
18,430107527000.0,-0.0033618448547390045
19,439882698000.0,-0.007477319950801364
20,449657869000.0,-0.01177393870563348
21,459433040000.0,-0.015306261994933124
22,469208211000.0,-0.01810861504526895
23,478983382000.0,-0.020597830787348004
24,488758553000.0,-0.0235481450265842
25,498533724000.0,-0.02742027091503374
26,508308895000.0,-0.03248963549958539
27,518084066000.0,-0.03607710886860738
28,527859238000.0,-0.03985947534375911
29,537634409000.0,-0.04391591333953926
30,547409580000.0,-0.04830658345982486
31,557184751000.0,-0.05326041875738419
32,566959922000.0,-0.057454429773709625
33,576735093000.0,-0.06155512765658466
34,586510264000.0,-0.06567524309870354
35,596285435000.0,-0.06917195316611324
36,606060606000.0,-0.07286195354157377
37,615835777000.0,-0.07711901884469263
38,625610948000.0,-0.0801461423569596
39,635386119000.0,-0.0840940905811125
40,645161290000.0,-0.08867181298028415
41,654936461000.0,-0.09284414768099136
42,664711632000.0,-0.09764818812377829
43,674486804000.0,-0.10188100194006822
44,684261975000.0,-0.10692940909094806
45,694037146000.0,-0.1117533028616986
46,703812317000.0,-0.11657639963826893
47,713587488000.0,-0.12096318218177649
48,723362659000.0,-0.12547797726599708
49,733137830000.0,-0.1306384632257529
50,742913001000.0,-0.13484430575889594
51,752688172000.0,-0.13879034996714124
52,762463343000.0,-0.14292876600842774
53,772238514000.0,-0.1473583436927033
54,782013685000.0,-0.15163742514178313
55,791788856000.0,-0.15571915432246008
56,801564027000.0,-0.15954779110666006
57,811339198000.0,-0.16375035794447834
58,821114370000.0,-0.16833858392110423
59,830889541000.0,-0.17307731836482
60,840664712000.0,-0.17786388533258357
61,850439883000.0,-0.18176386558557978
62,860215054000.0,-0.18566147209595352
63,869990225000.0,-0.1902124760642474
64,879765396000.0,-0.19541044169813526
65,889540567000.0,-0.1998598576489714
66,899315738000.0,-0.2041334537567301
67,909090909000.0,-0.20839605666093064
68,918866080000.0,-0.21340528693511196
69,928641251000.0,-0.21846273100944202
70,938416422000.0,-0.22298825787686072
71,948191593000.0,-0.2279268987145362
72,957966764000.0,-0.23209220492156923
73,967741935000.0,-0.23709957742451238
74,977517107000.0,-0.241385144698254
75,987292278000.0,-0.24608479306430642
76,997067449000.0,-0.25053202432366595
77,1006842620000.0,-0.2551937129266948
78,1016617790000.0,-0.25971726169855414
79,1026392960000.0,-0.26398572752667304
80,1036168130000.0,-0.2687306490298571
81,1045943300000.0,-0.2727496653794841
82,1055718480000.0,-0.277550521886361
83,1065493650000.0,-0.2818913867066688
84,1075268820000.0,-0.28710221354020105
85,1085043990000.0,-0.29134798391201144
86,1094819160000.0,-0.29689854061708365
87,1104594330000.0,-0.30062935060313745
88,1114369500000.0,-0.3032931658136495
89,1124144670000.0,-0.30958698352284575
90,1133919840000.0,-0.31419610166359746
91,1143695010000.0,-0.3194745430614985
92,1153470190000.0,-0.3239609098210092
93,1163245360000.0,-0.3317385215937758
94,1173020530000.0,-0.33493612321112565
95,1182795700000.0,-0.3390921822792894
96,1192570870000.0,-0.34347547202723394
97,1202346040000.0,-0.34801966691287234
98,1212121210000.0,-0.35216665019788085
99,1221896380000.0,-0.35598343267907095
100,1231671550000.0,-0.3606046782734347
101,1241446730000.0,-0.3644983692674497
102,1251221900000.0,-0.3698252816207974
103,1260997070000.0,-0.3740361341983065
104,1270772240000.0,-0.3800449427893011
105,1280547410000.0,-0.38487627347149855
106,1290322580000.0,-0.3909064110856657
107,1300097750000.0,-0.39571541889643447
108,1309872920000.0,-0.40061899115009947
109,1319648090000.0,-0.4050574629927408
110,1329423260000.0,-0.40967536194842946
111,1339198440000.0,-0.4152488827735299
112,1348973610000.0,-0.4185057864481494
113,1358748780000.0,-0.42357015465489667
114,1368523950000.0,-0.4270190348319365
115,1378299120000.0,-0.43298881358202834
116,1388074290000.0,-0.4369738133147849
117,1397849460000.0,-0.44311299810309634
118,1407624630000.0,-0.4460939388437173
119,1417399800000.0,-0.4509965432139933
120,1427174980000.0,-0.4572367526442127
121,1436950150000.0,-0.46071441379077704
122,1446725320000.0,-0.4669145138689408
123,1456500490000.0,-0.4699926254476572
124,1466275660000.0,-0.47606323858389654
125,1476050830000.0,-0.4787747245115659
126,1485826000000.0,-0.48454727113458906
127,1495601170000.0,-0.48789182897691274
