,freqs,Vertikal,Horizontal,Ref
0,0.005000569425400793,-50.91796881728021,-56.345702826446896,-42.7654967143668
1,0.010001138850801587,-46.76067294220882,-48.384872975400334,-41.12393648917701
2,0.01500170827620238,-36.62043381584998,-43.3907675592457,-39.36617686398402
3,0.020002277701603174,-39.56695228641593,-46.74105584295573,-41.8903449309943
4,0.025002847127003968,-39.85545773707682,-47.556713061601094,-41.25250513331548
5,0.03000341655240476,-36.035088345786555,-45.801348339461285,-38.538671627319644
6,0.03500398597780555,-33.585911257562394,-45.045182607586646,-35.83765071336347
7,0.04000455540320635,-34.02358400931404,-48.48906659916645,-36.262282610635495
8,0.04500512482860714,-34.23193827508763,-46.176211881328236,-35.5326415680111
9,0.050005694254007936,-34.15600745643212,-48.953275174268136,-34.92463343099767
10,0.05500626367940873,-32.305575998285185,-44.377290259210945,-32.65055769103541
11,0.06000683310480952,-34.17411771503297,-44.520546144033766,-33.895024227546024
12,0.06500740253021031,-33.37528043330873,-49.64276931762181,-32.893181363336666
13,0.0700079719556111,-32.28126259221939,-52.78029763669474,-32.145688700321735
14,0.0750085413810119,-30.32630881738616,-54.82571555905145,-30.07789176782432
15,0.0800091108064127,-28.64479735851568,-46.58343061646807,-28.227278458314977
16,0.08500968023181349,-30.35427156226323,-53.075266638170945,-30.45215938748647
17,0.09001024965721428,-29.323147868883165,-47.82871932176235,-28.902389089162966
18,0.09501081908261508,-25.905076286392195,-42.87816990548838,-25.407842608537972
19,0.10001138850801587,-26.155653832856004,-42.928084026719574,-25.82021425787942
20,0.10501195793341667,-27.45536865216581,-44.70235050683893,-27.31352894906224
21,0.11001252735881746,-27.15490637258806,-44.299374132557375,-27.045581179537482
22,0.11501309678421825,-25.507016888799157,-43.11254165928017,-25.558850764516468
23,0.12001366620961904,-25.053556033815617,-41.91671434258286,-25.074107217372017
24,0.12501423563501984,-26.06154520087843,-41.22321775753734,-25.974543615959256
25,0.13001480506042062,-26.392955939933437,-42.502035814998315,-26.340039811118984
26,0.13501537448582143,-25.47390381714648,-41.51046088821518,-25.432995504287295
